,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
0,20210804-131925 20210804_dmMBP_ATP #005-001,0,pulling,77.22467141205418,10.286659374619354,10.545467106232623,2.747205705204309,79.97187711725849,10.286659374619354,3.0610000000000004
1,20210804-131925 20210804_dmMBP_ATP #005-001,0,pulling,105.85063639089738,11.151961017341852,10.636722394604105,10.644276968376264,116.49491335927364,11.151961017341852,3.147
2,20210804-131925 20210804_dmMBP_ATP #005-001,1,retracting,252.974399282406,2.942921187746574,2.052107476056236,200.85759430889522,453.8319935913012,51.705745003021846,26.645
3,20210804-131925 20210804_dmMBP_ATP #005-001,2,retracting,535.2111169300324,2.8523498444554565,1.821019102704056,228.58367227763324,763.7947892076656,51.860875708130216,41.813
4,20210804-131925 20210804_dmMBP_ATP #005-001,3,retracting,308.3336178789828,2.9409814173988904,1.994532978582812,199.1674798932316,507.5010977722144,52.05682796812612,57.037
5,20210804-131925 20210804_dmMBP_ATP #005-001,4,retracting,167.3945023456105,2.8975748006638433,2.157920655216543,203.31710740439487,370.7116097500054,51.796868661114445,72.24914
6,20210804-131925 20210804_dmMBP_ATP #005-001,5,retracting,548.3769875538228,2.9456290071437023,1.8228918479091136,198.6728190968328,747.0498066506556,51.81132469696775,87.45900000000002
7,20210804-131925 20210804_dmMBP_ATP #005-001,6,pulling,-3.9841318084025232,43.23209087121512,47.869835359285354,129.09800576795783,125.1138739595553,43.23209087121512,99.071
8,20210804-131925 20210804_dmMBP_ATP #005-001,6,retracting,190.8760616423963,3.029251309757786,2.1516213867518568,183.52455429410864,374.40061593650495,52.05020341497941,102.685
